,inanimate
0,cornucopia
1,curry
2,dish
3,dynamite
4,grinder
5,pan
6,pepperoni
7,stalagmite
8,windowsill
9,dumpling
10,ham
11,mat
12,music
13,pea
14,pulley
15,recorder
16,roll
17,satellite
18,ski
19,accordion
20,first-aid
21,guillotine
22,hood
23,jukebox
24,jumpsuit
25,patty
26,showerhead
27,sledgehammer
28,train
29,bumper
30,collar
31,credit
32,fur
33,jalapeno
34,jug
35,maggot
36,pecan
37,rollerblade
38,charger
39,cigar
40,clothespin
41,cookie
42,curling
43,fingerprint
44,fire
45,mushroom
46,roadsweeper
47,tiara
48,clove
49,doily
50,gutter
51,hamburger
52,hot-air
53,shower
54,spam
55,squeegee
56,thermometer
57,banner
58,bungee
59,cashew
60,mask
61,mistletoe
62,radio
63,road
64,seafood
65,spark
66,violin
67,arch
68,bunkbed
69,latte
70,ottoman
71,outlet
72,streetlight
73,swizzle
74,trumpet
75,window
76,boat
77,breadbox
78,cannonball
79,chandelier
80,coffin
81,highchair
82,nest
83,plastic
84,veil
85,bead
86,bulletin
87,chime
88,flip
89,fudge
90,insole
91,pretzel
92,sunroof
93,toaster
94,wire
